user_id,task_id,involved_uncertainty,human_agency,automation_desire,z_human_agency,z_automation_desire,w_uncertainty,wbu_base,wbu,classification,Importance,Frequency,quadrant
9215f6fc-81e2-40e1-96db-3ac70cab4091,2587,2,5,1,0.0,0.0,0.25,0.0,0.0,Not Intrapreneurial,4.05,7,Core
9215f6fc-81e2-40e1-96db-3ac70cab4091,2591,5,5,1,0.0,0.0,1.0,0.0,0.0,Intrapreneurial,3.16,4,Routine
a17b322e-3134-475c-a652-89f27b3a9946,55,2,3,2,0.0,0.0,0.25,0.0,0.0,Intrapreneurial,4.16,3,Critical
533a6bf0-9958-4892-8777-44108350b9be,2578,2,1,4,-1.3228756555322954,0.4082482904638628,0.25,-1.731123945996158,-0.4327809864990395,Not Intrapreneurial,4.53,7,Core
533a6bf0-9958-4892-8777-44108350b9be,2580,2,3,2,1.3228756555322954,-1.4969103983674976,0.25,2.8197860538997928,0.7049465134749482,Not Intrapreneurial,4.39,7,Core
533a6bf0-9958-4892-8777-44108350b9be,2581,3,3,4,1.3228756555322954,0.4082482904638628,0.5,0.9146273650684326,0.4573136825342163,Not Intrapreneurial,4.22,7,Core
533a6bf0-9958-4892-8777-44108350b9be,2583,2,1,4,-1.3228756555322954,0.4082482904638628,0.25,-1.731123945996158,-0.4327809864990395,Not Intrapreneurial,4.18,5,Core
533a6bf0-9958-4892-8777-44108350b9be,2584,2,2,4,0.0,0.4082482904638628,0.25,-0.4082482904638628,-0.1020620726159657,Not Intrapreneurial,4.1,7,Core
533a6bf0-9958-4892-8777-44108350b9be,2582,1,2,5,0.0,1.360827634879543,0.0,-1.360827634879543,-0.0,Not Intrapreneurial,4.07,3,Critical
533a6bf0-9958-4892-8777-44108350b9be,2579,2,2,2,0.0,-1.4969103983674976,0.25,1.4969103983674976,0.3742275995918744,Not Intrapreneurial,4.19,6,Core
9f48da63-2e55-413d-a8b4-ec18e410eb36,1411,5,1,5,-0.7071067811865476,1.4142135623730951,1.0,-2.121320343559643,-2.121320343559643,Not Intrapreneurial,4.3,5,Core
9f48da63-2e55-413d-a8b4-ec18e410eb36,20736,4,3,3,1.414213562373095,-0.7071067811865474,0.75,2.1213203435596424,1.590990257669732,Not Intrapreneurial,4.15,5,Core
9f48da63-2e55-413d-a8b4-ec18e410eb36,20737,2,1,3,-0.7071067811865476,-0.7071067811865474,0.25,-2.220446049250313e-16,-5.551115123125783e-17,Not Intrapreneurial,3.46,3,Peripheral
32176135-796f-4d69-811a-b26a9dfc0c3c,1777,1,2,4,-1.3397876906064712,1.0690449676496976,0.0,-2.408832658256169,-0.0,Not Intrapreneurial,4.55,7,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1780,3,2,4,-1.3397876906064712,1.0690449676496976,0.5,-2.408832658256169,-1.2044163291280845,Not Intrapreneurial,4.48,5,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1786,3,5,1,1.0245435281108306,-0.9354143466934852,0.5,1.9599578748043158,0.9799789374021579,Not Intrapreneurial,4.47,5,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1782,5,5,1,1.0245435281108306,-0.9354143466934852,1.0,1.9599578748043158,1.9599578748043158,Intrapreneurial,4.42,5,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1776,2,4,3,0.23643312187173002,0.4008918628686366,0.25,-0.16445874099690658,-0.041114685249226644,Not Intrapreneurial,4.3,5,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1783,3,4,5,0.23643312187173002,1.7371980724307585,0.5,-1.5007649505590286,-0.7503824752795143,Not Intrapreneurial,4.2,6,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,21000,3,3,1,-0.5516772843673705,-0.9354143466934852,0.5,0.3837370623261147,0.19186853116305735,Not Intrapreneurial,4.13,7,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1779,5,5,1,1.0245435281108306,-0.9354143466934852,1.0,1.9599578748043158,1.9599578748043158,Not Intrapreneurial,4.08,5,Core
32176135-796f-4d69-811a-b26a9dfc0c3c,1781,1,2,3,-1.3397876906064712,0.4008918628686366,0.0,-1.7406795534751078,-0.0,Not Intrapreneurial,3.96,6,Routine
32176135-796f-4d69-811a-b26a9dfc0c3c,1785,4,5,1,1.0245435281108306,-0.9354143466934852,0.75,1.9599578748043158,1.469968406103237,Not Intrapreneurial,3.67,5,Routine
f5ebd9c8-d0f3-4e08-8027-5680268d073d,19004,2,2,2,-0.7500000000000001,-0.5883484054145521,0.25,-0.16165159458544798,-0.040412898646361994,Not Intrapreneurial,4.44,5,Core
f5ebd9c8-d0f3-4e08-8027-5680268d073d,18991,2,3,3,0.4999999999999999,0.392232270276368,0.25,0.10776772972363191,0.026941932430907978,Not Intrapreneurial,4.37,5,Core
f5ebd9c8-d0f3-4e08-8027-5680268d073d,18993,1,2,4,-0.7500000000000001,1.372812945967288,0.0,-2.122812945967288,-0.0,Not Intrapreneurial,4.09,5,Core
f5ebd9c8-d0f3-4e08-8027-5680268d073d,19002,5,4,1,1.7499999999999998,-1.5689290811054721,1.0,3.318929081105472,3.318929081105472,Not Intrapreneurial,3.96,3,Peripheral
f5ebd9c8-d0f3-4e08-8027-5680268d073d,19011,2,2,3,-0.7500000000000001,0.392232270276368,0.25,-1.142232270276368,-0.285558067569092,Intrapreneurial,3.34,4,Routine
788a168b-6694-46f6-8493-e757b2f715b3,21049,3,4,4,0.7071067811865478,0.0,0.5,0.7071067811865478,0.3535533905932739,Not Intrapreneurial,3.24,5,Routine
9aef09c6-ccfd-4dc0-a578-1ae21f7450a1,21520,3,5,4,0.0,0.0,0.5,0.0,0.0,Not Intrapreneurial,4.03,3,Critical
231576cd-4cc2-4dee-91cb-6bb0105d06db,16157,2,3,4,-0.5222329678670935,1.3416407864998738,0.25,-1.8638737543669675,-0.46596843859174186,Not Intrapreneurial,4.29,5,Core
231576cd-4cc2-4dee-91cb-6bb0105d06db,16159,3,2,2,-1.5666989036012806,-0.4472135954999579,0.5,-1.1194853081013227,-0.5597426540506614,Not Intrapreneurial,4.2,3,Critical
